i,Title,Author,Publisher,Subjects,found_isbn,source
13191,Vers la majorité politique : histoire du suffrage féminin en Suisse /,"Ruckstuhl, Lotti",Interfeminas; Association suisse pour les droits de la femme,droit de vote--femme--Suisse--1909 / 1990; Femmes--Droit de vote--Histoire--Suisse,,None
13198,Vous les entendez ? : roman /,"Sarraute, Nathalie",Gallimard,,,None
13223,Das Zivilprozessrecht der Schweiz /,"Schurter, Emil",Rascher,procédure civile--Suisse--[manuel]; droit cantonal--procédure civile--Suisse--[manuel],,None
13229,Schloss Hallwil.,"Lithberg, Nils",A-B Gunnar,,,None
13230,Les genres littéraires à Rome /,"Martin, René",Scodel,genre littéraire--littérature latine; littérature latine--[manuel],,None
13241,Die deutsche Literatur des Mittelalters : Verfasserlexikon /,nan,W de Gruyter,littérature allemande--époque Alt- und mittelhochdeutsch--[dictionnaire],9783110222487,OpenLibrary
13251,"Une économie alpine à la fin du Moyen Age : Orsières, l'Entremont et les régions voisines, 1250-1500 /","Dubuis, Pierre, historien",Vallesia - Archives cantonales,"Montagnes--Aspect économique--Orsières (Suisse, région, VS)--Moyen âge; Montagnes--Aspect économique--Entremont (Suisse, vallée, VS)--Moyen âge; économie de montagne--Entremont (Suisse, vallée, VS)--1250 / 1500; économie de montagne--Orsières (Suisse, VS)--1250 / 1500",,None
13257,"Vocadingo CP à CM1 : jeu de vocabulaire avec 200 mots et leurs anagrammes, définitions et devinettes /","Guély, François",Aritma; Cocktail Games,Français (langue)--Vocabulaire; Jeux éducatifs,,None
13278,Annales /,"Tacitus, Publius Cornelius",Les Belles lettres,,9780521315432,OpenLibrary
13279,Histoires /,"Tacitus, Publius Cornelius",Les Belles Lettres,,9782251013411,OpenLibrary
13280,Monnaies romaines /,"Sutherland, Carol Humphrey Vivian",P Attinger; Office du livre,monnaies romaines antiques--[manuel],,None
13283,"Langage, vérité et logique /","Ayer, Alfred Jules",Flammarion,langage--vérité--* philosophie du langage,,None
13292,Vagabondage et mendicité /,"Damon, Julien",Flammarion,mendicité--vagabondage--France--Moyen-Âge / 20e s.; exclusion sociale--mendicité--politique sociale--France--Moyen-Âge / 20e s.; exclusion sociale--politique sociale--vagabondage--France--Moyen-Âge / 20e s.,2080355346,OpenLibrary
13316,[OT'hope],nan,,Ergothérapie,,None
13368,Description de la Grèce. l'Elide (I) /,Pausanias,Les Belles Lettres,,9782251004730,OpenLibrary
13393,Handbuch der Schweizerischen Volkswirtschaft /,nan,Verlag Benteli,économie--Suisse; Nationalökonomie; Schweiz,,None
13394,Handbuch der Schweizerischen Volkswirtschaft /,nan,Benteli-Verlag,Économie politique--Suisse; économie--Suisse--[manuel]; Nationalökonomie; Wirtschaft; Soziologie; Politik; Schweiz; Guides pratiques,,None
13410,[NEPSY II] [Bilan neuropsychlogique de l'enfant ; seconde édition],nan,,Ergothérapie,,None
13442,Beschränkung der Vertragshaftung durch Vereinbarung /,"Buol, Martina",Schulthess Polygraphischer Verl,responsabilité contractuelle - limitation--Suisse,,None
13443,Vertragliche Haftungsbeschränkungen im schweizerischen Kaufrecht : unter besonderer Darstellung von Haftungsbeschränkungsklauseln in allgemeinen Geschäftsbedingungen /,"Lörtscher, Thomas",Schulthess Polygraphischer Verlag,Kauf; allgemeine Vertragsbedingungen; Wegbedingung der Haftung; Schweiz,,None
13449,Le salon de Madame Necker d'après des documents tirés des archives de Coppet /,"Haussonville, Gabriel-Paul-Othenin d', 1843-1924",,,,None
13466,Inventario delle cose d'arte di Antichità del distretto di Mendrisio /,"Martinola, Giuseppe",Arti grafiche; Ed dello Stato,"art suisse tessinois--Mendrisiotto (Suisse, TI); monument historique--Mendrisiotto (Suisse, TI); église (bâtiment)--Mendrisiotto (Suisse, TI); monument historique--Mendrisio (Suisse, district, TI)",,None
13472,Mathématique : quatrième année /,nan,Office romand des éditions et du matériel scolaires,,,None
13473,Mathématique : première année /,nan,Office romand des éditions et du matériel scolaires,,,None
13474,"Mathématique, deuxième année.",nan,Office romand des services cantonaux des éd et du matériel scolaire,mathématiques--[manuel],,None
13475,Mathématique : quatrième année : méthodologie-commentaires /,"Ferrario, Mario",Office romand des éditions et du matériel scolaires,,,None
13476,"Mathématique, cinquième année /",nan,Office romand des éditions et du matériel scolaires,,,None
13477,"Mathématique, troisième année : méthodologie, commentaires /",nan,Librairie de l'Etat de Berne,,,None
13478,"Mathématique, troisième année /",nan,Librairie de l'Etat de Berne,,,None
13486,Je trottine dans ma ville : pour découvrir Lausanne pas à pas /,"Nikles, Floriane",F Nikles,"Promenade--Lausanne (Suisse, VD); promenade--Lausanne (Suisse, VD); Ouvrages pour la jeunesse",,None
13493,"Etudes sur la situation intérieure, la vie nationale et les institutions rurales de la Russie /","Haxthausen, August von",Hahn,Russie,9781021753946,OpenLibrary
13496,Isaak Iselins Pariser Tagebuch 1752 /,"Iselin, Isaak, 1728-1782",B Schwabe,"Iselin, Isaak--Paris (France)--1752--[chroniques]",,None
13506,"Russkai︠a︡ muzykalʹnai︠a︡ kulʹtura XVIII veka v ee svi︠a︡zi︠a︡kh s literaturoĭ, teatrom i bytom : issledovanii︠a︡ i materialy /","Livanova, Tamara Nikolaevna",Gosudarstvennoe muzykalʹnoe izd-vo,,,None
13509,L'opéra-comique français en Russie au XVIIIe siècle : contribution à l'histoire de la musique russe /,"Mooser, Robert-Aloys, 1876-1969",Union européenne d'éditions; Ed R Kister,opéra-comique français--Russie--18e s.,,None
13530,Iliade /,Homerus,Les Belles lettres,,9781546538394,OpenLibrary
13558,Oeuvres complètes /,"Racine, Jean, 1639-1699",Seuil,,,None
13570,Martin Eden /,"London, Jack, 1876-1916",Edito-Service,,9781725913790,OpenLibrary
13596,Théâtre complet /,"Shakespeare, William, 1564-1616",Garnier,,,None
13598,Vorlesungen über die Ästhetik /,"Hegel, Georg Wilhelm Friedrich, 1770-1831",Suhrkamp,,9783150079768,OpenLibrary
13616,Lettres /,"Plinius Caecilius Secundus, Caius",Les Belles Lettres,,9782080711298,OpenLibrary
13617,Vies des douze Césars /,"Suetonius Tranquillus, Caius",Les Belles Lettres,,9782080705532,OpenLibrary
13624,Surveillance infirmière en pré et postopératoire /,"Rémond, Catherine",Ed Lamarre,salle d'opération--soins infirmiers--[manuel]; chirurgie--soins infirmiers--[manuel],9782757300817,OpenLibrary
13639,La cour de Russie à l'école romande : gouvernantes et précepteurs chez les tsars : dossier /,"Tosato-Rigo, Danièle",,"Catherine--(impératrice de Russie ;--2); La Harpe, Frédéric César de; Tuteurs et tutorat (éducation); Suisse",,None
13641,Vies.,Plutarque 0046?-0120?,Les Belles Lettres,,,None
13644,La vie économique à Lausanne au Moyen Age /,"Anex-Cabanis, Danielle",Cahiers de la renaissance vaudoise; Bibliothèque historique vaudoise,"économie--Lausanne (Suisse, VD)--Moyen-Âge",,None
13647,Des délits et des peines /,"Beccaria, Cesare 1738-1794",Droz,droit pénal--[manuel]; peine (droit)--[manuel],9781539417934,OpenLibrary
13654,Annales /,"Tacitus, Publius Cornelius",Les Belles lettres,,9780521315432,OpenLibrary
13684,Techniques quantitatives de gestion 2 : Problèmes de comptabilité et d'arithmétique commerciale /,"Schumacher, Jean-Jacques",Collection TQG,Comptabilité de gestion; Gestion d'entreprise; Techniques quantitatives de gestion; [Manuels d'enseignement],,None
13723,Le droit de la famille dans tous ses états : formation d'avocat spécialiste FSA en droit de la famille /,nan,Université de Neuchâtel Faculté de droit; Université de Genève Faculté de droit,Famille; Droit; Suisse; [Études de cas]; [Manuels d'enseignement supérieur],,None
13725,"Rituels funéraires de l'ancienne Égypte : le rituel de l'embaumement, le rituel de l'ouverture de la bouche, les livres des respirations /",nan,Ed du Cerf,funérailles--religion égyptienne--[anthologie],,None
13726,Jean Pucelle /,"Morand, Kathleen B 1915-2007",Clarendon Press,"manuscrit enluminé--Pucelle, Jean",,None
13742,De Sluter à Sambin : essai critique sur la sculpture et le décor monumental en Bourgogne au XVme et au XVIme siècles /,"David, Henri 1931-",E Leroux,,,None
13758,"Vidéo, la mémoire au poing /","Duguet, Anne-Marie",Hachette,vidéo,,None
13760,Ecrits sur la littérature et l'art / précédé de,"Brecht, Bertolt",L'Arche,,,None
13765,Piété baroque et déchristianisation en Provence au XVIIIe siècle : Les attitudes devant la mort d'après les clauses des testaments /,"Vovelle, Michel",Plon,vie religieuse--Provence (France)--18e s.,,None
13787,Staatshaftung für judikatives Unrecht : eine rechtsdogmatische und rechtstatsächliche Untersuchung bezogen auf den Bund und die Kantone Zürich und Glarus /,"Hunold, Fridolin",Schulthess,"Pouvoir judiciaire; Droit administratif; Droit comparé; Responsabilité du fait de la justice; Pouvoir discrétionnaire des juges; Jugements; Suisse; Zurich (Suisse, canton); Glaris (Suisse, canton)",,None
13795,Dürer et son temps : 1471-1528 /,"Russell, Francis",Time-Life,"Dürer, Albrecht",,None
13801,Les loustics 1 méthode de français : [niveau] A1.1 : 3 CD pour la classe /,"Denisot, Hugues",Hachette,Français (langue); Français (langue)--Étude et enseignement (primaire); Manuels pour allophones,,None
13803,Fit en français /,"Naef, Anja",Schubi Lernmedien,,,None
13821,Le train des souris /,"Yamashita, Haruo",L'école des loisirs,,9782211011211,OpenLibrary
13859,Le couronnement de Louis : chanson de geste du XIIe siècle /,nan,H Champion,,,None
13862,Le roman de la violette ou de Gerart de Nevers /,"Gerbert, de Montreuil",H Champion,,,None
13870,Les rédactions en vers du Couronnement de Louis /,nan,Droz,,,None
13875,L'idéologie tripartie des Indo-Européens /,"Dumézil, Georges",Latomus,idéologie--Indo-Européens (peuple),,None
13887,"La politique étrangère de la Suisse : permanences, ruptures et défis : 1945-1964 /",nan,Département fédéral des affaires étrangères DFAE Direction politique DP Secrétariat politique,politique étrangère--Suisse--1945 / 1964--[études diverses],,None
13893,"Le Mouvement ouvrier suisse : documents : situation, organisation et luttes des travailleurs de 1800 à nos jours /",nan,Ed Adversaires,mouvement ouvrier--Suisse--1800 / 1975--[document],,None
13898,Histoires /,Herodotus,Les Belles lettres,,9781478313991,OpenLibrary
13950,"Henry Dunant l'Algérien, ou, Le mirage colonial /","Pous, Jacques",Ed Grounauer,"colonialisme--Dunant, Henry--Algérie--Suisse--1853 / 1867",,None
13961,La grève générale de 1918 : légendes et réalités /,"Frey, Constant",B Laederer,grève générale--Suisse--1918,,None
13962,Le Tessin dans les relations entre la Suisse et l'Italie : 1922-1940 /,"Rigonalli, Marzio",Tipografia Pedrazzini,"Italie--Suisse--1922 / 1940; Ticino (Suisse, canton)--1922 / 1940",,None
14001,La suite d'Homère /,"Quintus, Smyrnaeus",Les Belles Lettres,,,None
14028,Héroïdes /,"Ovidius Naso, Publius",Les Belles Lettres,,9782251001746,OpenLibrary
14039,Bibliothèque historique /,"Diodorus, Siculus",Les Belles Lettres,,9782251004846,OpenLibrary
14059,"LES EMOTIONS [CHARLES DARWIN, JEAN PIAGET, JEAN-PAUL SARTRE] /",nan,Delachaux et Niestlé,,,None
14064,"La Suisse et l'Afrique du Sud, 1945-1990 : commerce, finance et achats d'or durant l'apartheid /","Bott, Sandra",éditeur non identifié,relations économiques internationales--Afrique du Sud (république)--Suisse--1945 / 1990; commerce--or--Afrique du sud (république)--Suisse--1945 / 1990; Afrique du Sud (république)--Suisse--1945 / 1990,,None
14077,A l'école de la différence,nan,SER Syndicat des enseignants romands,enseignement spécial--[études diverses]; intégration scolaire--[études diverses]; enseignement spécial--intégration scolaire--Suisse--[études diverses],,None
14087,Isis et Osiris /,Plutarque 0046?-0120?,Les Belles Lettres,,9782725620206,OpenLibrary
14116,Assurances sociales : une sécurité pour qui ? : la loi Forrer et les origines de l'Etat social en Suisse /,"Knüsel, René",Institut de science politique,assurances sociales--* droit--Suisse,,None
14134,La religion populaire dans l'Occident chrétien : approches historiques /,nan,Ed Beauchesne,catholicisme--religion populaire--France--Moyen-Âge / 20e s.,,None
14167,Poésies /,"Catullus, Caius Valerius",Les Belles Lettres,,9782251799285,OpenLibrary
14181,Immigrés et réfugiés en Suisse : aperçu historique /,"Vuilleumier, Marc",Impr Corbaz; Pro Helvetia,Réfugiés--Suisse--20e siècle; Réfugiés--Suisse--19e siècle; Immigrés--Suisse--19e siècle; Immigrés--Suisse--20e siècle; réfugié--Suisse--19e s. / 20e s.; immigration--Suisse--19e s. / 20e s.,,None
14184,Bekenntnisse des Hochstaplers Felix Krull /,"Mann, Thomas, 1875-1955",Querido Verlag,,9783100484086,OpenLibrary
14185,Ein Hungerkünstler : vier Geschichten /,"Kafka, Franz",Verlag die Schmiede,,,None
14209,Code des obligations : [du 30 mars 1911 (état le 1er janvier 2022)] /,nan,Diffusion OFCL; Chancellerie fédérale,Obligationenrecht; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion,,None
14213,Code des obligations : du 30 mars 1911 : état le 1er juillet 2017 /,nan,Chancellerie fédérale,,,None
14285,ICA : Information Communication Administration /,"Brunner, Anne-Laure",ASSAP,Communication; Rédaction administrative,,None
14304,Numéro de document erroné lors de l'inscription sur le formulaire,nan,Gymnase de La Cité,,,None
14327,Santé mentale : démarche de soins et diagnostics infirmiers /,"MacFarland, Gertrude K",Masson,santé mentale--soins infirmiers--[manuel]; diagnostic infirmier--santé mentale--[manuel],,None
14352,"Garzanti francese : francese - italiano, italiano - francese /",nan,Garzanti Linguistica,[Dictionnaires italiens],,None
14378,Clé USB 8Go,nan,,,,None
14420,Catalogues of the Paris Salon : 1673 to 1881 : 60 volumes /,nan,Garland,Salon de l'Académie des beaux-arts--(Paris)--[catalogue d'exposition],,None
14440,Les mineurs non accompagnés en droit d'asile : étude du droit suisse à la lumière du droit international des droits de l'enfant /,"Corbaz, Matthieu",Stämpfli,"Mineurs étrangers isolés; Émigration et immigration; Droit d'asile; Protection, assistance, etc.; Enfants; Droit; Migrations; Droit international; Asylrecht; Asylverfahren; unbegleiteter minderjähriger Asylsuchender; Jugendschutz; international; Übereinkommen über die Rechte des Kindes; Suisse; Schweiz; [Thèses et écrits académiques]",,None
14450,Tina (?) /,"Haeberlin,Yann",Y Haeberlin,,,None
14458,Code des obligations : [du 30 mars 1911 (état le 1er janvier 2020)] /,nan,Diffusion OFCL; Chancellerie fédérale,Obligationenrecht; Obligationenrecht(Bundesgesetz); Obligations (droit); Schweiz; Suisse; Textreproduktion; [Législation],,None
14459,Code civil suisse : [du 10 décembre 1907 (état le 1er janvier 2019)] /,nan,diff OFCL; Chancellerie fédérale,Zivilrecht; Zivilgesetzbuch; Droit civil; Schweiz; Suisse; Textreproduktion; [Législation],,None
14482,Guide de la musique de piano et de clavecin /,nan,Fayard,musique pour piano--[guide]; musique pour clavecin--[guide]; compositeur (musique)--musique pour piano--[dictionnaire]; compositeur (musique)--musique pour clavecin--[dictionnaire],,None
14494,Code des obligations : [du 30 mars 1911 (état le 1er avril 2017)] /,nan,Chancellerie fédérale,Législation; Obligations (droit); Suisse,,None
14504,Illuminations ; suivi de Correspondance (1873-1891) /,"Rimbaud, Arthur",GF Flammarion,,,None
14596,Code civil suisse: du 10 décembre 1907 (état le 1er juillet 2022) /,nan,Diffusion OFCL; Chancellerie fédérale,,,None
14598,Introduction à la vie dévote /,"François, de Sales, saint",F Roches,,9780895553997,OpenLibrary
14621,L'astre perdu : bande dessinée /,"Arvela, Catarina",Gymnase de Nyon,,,None
14622,"Vocadingo CM1-CM2 : jeu de vocabulaire avec 200 mots et leurs anagrammes, définitions et devinettes /","Guély, François",Aritma; Cocktail Games,Français (langue)--Vocabulaire; Jeux éducatifs,,None
14625,Histoire de la langue provençale à Avignon du XIIe au XIXe siècle /,"Pansier, Paul",Laffitte reprints; Slatkine reprints,occitan (langue)--Avignon (France)--12e s. / 19e s.,,None
14635,Apprentissage de la dissertation /,"Dupuis, Sylviane",Département de l'instruction publique Collège Calvin Service & développement,dissertation (exercice scolaire)--[manuel],,None
14638,Vocabulaire latin /,nan,Direction générale de l'enseignement obligatoire,Latin (langue); Vocabulaire; [Manuels d'enseignement],,None
14666,Histoire des classes sociales dans l'Afrique de l'ouest /,"Diop, Majhemout",F Maspero,classe sociale--Afrique occidentale; classe sociale--Mali (république); classe sociale--Sénégal,,None
14731,Les Bacchantes d'Euripide /,Euripides,Les belles lettres; E Belin,,,None
14737,L'univers filmique /,nan,Flammarion,cinéma--* esthétique; LANGAGE CINEMATOGRAPHIQUE; ESTHETIQUE; THEORIE,,None
14774,Mémoires de survivants de l'Holocauste,nan,Bezug Eidgenössisches Departement für Auswärtige Angelegenheiten EDA Politisches Sekretariat Historischer Dienst; Kontaktstelle für Überlebende des Holocaust,Survivants de la Shoah; Récits personnels,,None
14777,Orthodingo CE2 : 3 règles amusantes et 200 mots pour maîtriser l'orthographe /,"Faye, Emilie, 1982-....",Aritma; Cocktail Games,Français (langue)--Orthographe; Jeux éducatifs,,None
14794,Au fil du temps : volume 1 /,nan,Enbiro,,,None
14913,Dictionnaire alphabétique et analogique de la langue française /,"Robert, Paul, 1910-1980",Société du nouveau Littré,analogie (linguistique)--français (langue)--[dictionnaire],,None
14950,"Théâtre de Molière,","Molière, 1622-1673",Bibliothèque de la Comédie-Française; Documentation photographique,,,None
14978,La légion romaine : dossier,nan,Faton,Rome.--Armée.--Légion,,None
15116,Sobranie sochineniĭ v devi︠a︡ti tomakh /,"Kuprin, Aleksandr Ivanovich",Chudožestvennaja literatura,"Kouprine, Alexandre--[biographie]",,None
15117,Sobranie sochineniĭ v vosʹmi tomakh /,"Paustovskiĭ, Konstantin Georgievich",Chudožestvennaja literatura,,,None
15119,L'esclavage et les traites négrières /,"Salifou, André",Nathan,Esclavage--Histoire; Traite des esclaves,9782098821767,OpenLibrary
15125,"Correspondance littéraire, philosophique et critique /",nan,Garnier,,,None
15137,Polnoe sobranie sochineniĭ v dvenadt︠s︡ati tomakh /,"Ostrovskiĭ, Aleksandr Nikolaevich",Iskusstvo,,,None
15138,Sobranie sochineniĭ v vosʹmi tomakh /,"Marshak, Samuil I︠A︡kovlevich",Chudožestvennaja literatura,,,None
15139,Sredi knigʺ' : opytʺ obzora russkikhʺ knizhnykhʺ bogatsvʺ vʺ svi︠a︡zi sʺ istorieĭ nauchno-filosofskikhʺ i literaturno-obshchestvennykhʺ ideĭ /,"Rubakin, Nikolaĭ Aleksandrovich",Nauka,bibliographie,,None
15140,Sochinenii︠a︡ A. I. Gert︠s︡ena,"Herzen, Alexandre Ivanovitch, 1812-1870",H Georg,,,None
15150,Code des obligations : [du 30 mars 1911 [Etat le 1er avril 2017)] /,nan,Confédération Suisse,,,None
15188,La peste noire : dossier /,nan,,Peste noire; peste,,None
15195,Code pénal suisse : [du 21 décembre 1937 (état le 1er janvier 2019)] /,nan,diff OFCL; Chancellerie fédérale,Strafrecht; Strafgesetzbuch; Droit pénal; Schweiz; Suisse; Textreproduktion; [Législation],,None
15203,La Commedia dell'Arte : storia e testo /,nan,Sansoni Antiquariato,commedia dell'arte--[anthologie],,None
15232,"Payerne vracs : [ville, rues, archives, campagne, sociétés] /",nan,Editions du Caïon rodze,,,None
15245,Polnoe sobranie sochineniĭ i pisem : v tridt︠s︡ati tomakh /,"Chekhov, Anton Pavlovich",Nauka,,,None
15290,Directives de projet applicables à l'étude et à la mise au point de constructions scolaires réalisées à l'aide du système CROCS /,nan,Commune de Lausanne,"école (bâtiment) - construction - planification--Lausanne (Suisse, VD)",,None
